District,Mandal,Date,Rain (mm),Min Temp (°C),Max Temp (°C),Min Humidity (%),Max Humidity (%),Min Wind Speed (Kmph),Max Wind Speed (Kmph)
Adilabad,Adilabad Rural,01-Jul-21,16.8,24.7,35.4,54.9,95.3,0.0,2.5
Adilabad,Adilabad Rural,02-Jul-21,17.0,25.7,35.2,49.8,82.5,0.3,3.3
Adilabad,Adilabad Rural,03-Jul-21,0.0,26.3,33.5,57.0,86.4,0.2,2.5
Adilabad,Adilabad Rural,04-Jul-21,0.0,26.3,36.7,39.0,84.1,0.0,2.1
Adilabad,Adilabad Rural,05-Jul-21,0.0,28.0,36.4,42.5,75.8,0.0,1.9
Adilabad,Adilabad Rural,06-Jul-21,0.0,27.1,34.6,49.4,85.3,0.0,1.9
Adilabad,Adilabad Rural,07-Jul-21,0.0,26.8,35.0,47.9,81.0,0.0,3.6
Adilabad,Adilabad Rural,08-Jul-21,10.5,23.9,36.3,49.4,90.3,0.0,3.0
Adilabad,Adilabad Rural,09-Jul-21,4.3,24.6,28.1,78.1,85.2,0.0,1.8
Adilabad,Adilabad Rural,10-Jul-21,12.5,25.0,30.5,71.4,89.7,0.0,2.4
Adilabad,Adilabad Rural,11-Jul-21,45.0,24.1,33.4,63.5,95.7,0.0,3.7
Adilabad,Adilabad Rural,12-Jul-21,23.8,23.9,32.8,69.9,94.8,0.0,2.4
Adilabad,Adilabad Rural,13-Jul-21,3.0,25.0,33.4,64.5,96.5,0.0,1.8
Adilabad,Adilabad Rural,14-Jul-21,39.5,24.9,32.0,66.6,99.4,0.0,0.9
Adilabad,Adilabad Rural,15-Jul-21,10.0,24.6,30.7,73.2,96.9,0.0,2.3
Adilabad,Adilabad Rural,16-Jul-21,4.3,26.0,31.8,66.7,82.7,0.0,2.7
Adilabad,Adilabad Rural,17-Jul-21,0.0,25.9,32.6,65.8,96.1,0.0,2.0
Adilabad,Adilabad Rural,18-Jul-21,0.0,26.8,32.8,67.4,93.8,0.0,1.2
Adilabad,Adilabad Rural,19-Jul-21,1.0,24.4,34.9,56.7,97.6,0.0,1.5
Adilabad,Adilabad Rural,20-Jul-21,8.8,24.9,34.1,58.1,98.6,0.1,1.6
Adilabad,Adilabad Rural,21-Jul-21,48.3,23.5,31.8,57.9,88.2,0.2,3.0
Adilabad,Adilabad Rural,22-Jul-21,43.8,23.3,26.4,73.9,86.1,0.2,1.4
Adilabad,Adilabad Rural,23-Jul-21,76.5,23.9,26.5,78.7,88.6,0.0,1.4
