District,Mandal,Date,Rain (mm),Min Temp (°C),Max Temp (°C),Min Humidity (%),Max Humidity (%),Min Wind Speed (Kmph),Max Wind Speed (Kmph)
Adilabad,Adilabad Rural,01-May-21,0.0,26.8,39.3,0.0,0.0,0.0,0.0
Adilabad,Adilabad Rural,01-May-21,0.0,26.8,39.3,12.1,59.3,0.0,6.4
Adilabad,Adilabad Rural,02-May-21,0.0,24.0,38.7,0.0,0.0,0.0,0.0
Adilabad,Adilabad Rural,02-May-21,0.0,24.0,38.7,16.1,71.3,0.0,4.9
Adilabad,Adilabad Rural,03-May-21,0.0,24.1,34.1,0.0,0.0,0.0,0.0
Adilabad,Adilabad Rural,03-May-21,0.0,24.1,34.1,28.7,69.5,0.1,9.8
Adilabad,Adilabad Rural,04-May-21,0.0,25.1,37.7,0.0,0.0,0.0,0.0
Adilabad,Adilabad Rural,04-May-21,0.0,25.1,37.7,20.6,76.4,1.4,7.5
Adilabad,Adilabad Rural,05-May-21,0.0,28.1,40.0,0.0,0.0,0.0,0.0
Adilabad,Adilabad Rural,05-May-21,0.0,28.1,40.0,31.3,64.7,1.8,4.3
Adilabad,Adilabad Rural,06-May-21,0.0,26.6,36.8,0.0,0.0,0.0,0.0
Adilabad,Adilabad Rural,06-May-21,0.0,26.6,36.8,25.2,71.8,0.1,7.8
Adilabad,Adilabad Rural,07-May-21,0.0,25.0,37.5,0.0,0.0,0.0,0.0
Adilabad,Adilabad Rural,07-May-21,0.0,25.0,37.5,27.7,64.6,1.5,7.8
Adilabad,Adilabad Rural,08-May-21,0.0,26.2,35.1,0.0,0.0,0.0,0.0
Adilabad,Adilabad Rural,08-May-21,0.0,26.2,35.1,34.7,83.7,0.0,4.8
Adilabad,Adilabad Rural,09-May-21,0.0,26.7,37.6,0.0,0.0,0.0,0.0
Adilabad,Adilabad Rural,09-May-21,0.0,26.7,37.6,27.0,73.5,0.1,4.9
Adilabad,Adilabad Rural,10-May-21,0.0,26.5,35.9,0.0,0.0,0.0,0.0
Adilabad,Adilabad Rural,10-May-21,0.0,26.5,35.9,33.8,70.4,0.5,5.4
Adilabad,Adilabad Rural,11-May-21,0.0,28.3,36.2,0.0,0.0,0.0,0.0
Adilabad,Adilabad Rural,11-May-21,0.0,28.3,36.2,31.3,83.7,0.0,6.8
Adilabad,Adilabad Rural,12-May-21,0.0,25.9,41.6,0.0,0.0,0.0,0.0
Adilabad,Adilabad Rural,12-May-21,0.0,25.9,41.6,15.3,78.3,0.0,4.8
Adilabad,Adilabad Rural,13-May-21,0.0,29.8,42.5,0.0,0.0,0.0,0.0
Adilabad,Adilabad Rural,13-May-21,0.0,29.8,42.5,23.7,71.1,0.1,3.0
Adilabad,Adilabad Rural,14-May-21,0.0,29.4,41.6,0.0,0.0,0.0,0.0
Adilabad,Adilabad Rural,14-May-21,0.0,29.4,41.6,16.1,63.1,0.2,2.6
Adilabad,Adilabad Rural,15-May-21,0.0,28.9,39.9,0.0,0.0,0.0,0.0
Adilabad,Adilabad Rural,15-May-21,0.0,28.9,39.9,23.2,72.4,0.4,3.6
Adilabad,Adilabad Rural,16-May-21,0.0,27.3,37.3,0.0,0.0,0.0,0.0
Adilabad,Adilabad Rural,16-May-21,0.0,27.3,37.3,29.2,76.9,0.2,4.6
Adilabad,Adilabad Rural,17-May-21,0.0,26.6,34.5,36.5,78.8,7.2,11.6
Adilabad,Adilabad Rural,18-May-21,0.0,28.8,36.3,32.4,59.3,1.2,6.1
Adilabad,Adilabad Rural,19-May-21,0.0,30.0,37.0,30.6,71.7,0.2,5.8
Adilabad,Adilabad Rural,20-May-21,0.0,28.4,39.8,31.1,70.4,2.4,10.9
Adilabad,Adilabad Rural,21-May-21,0.0,26.4,35.6,30.5,61.8,2.3,9.7
Adilabad,Adilabad Rural,22-May-21,0.0,28.0,38.2,15.7,73.1,0.0,5.0
Adilabad,Adilabad Rural,23-May-21,0.0,31.4,39.4,17.2,55.4,0.0,2.5
Adilabad,Adilabad Rural,24-May-21,0.0,30.4,37.8,21.6,54.4,0.0,2.9
Adilabad,Adilabad Rural,25-May-21,0.0,28.0,39.5,14.2,48.2,0.0,4.7
Adilabad,Adilabad Rural,26-May-21,0.0,27.6,38.9,9.8,48.0,0.0,4.3
Adilabad,Adilabad Rural,27-May-21,0.0,27.6,39.0,26.3,50.2,0.3,6.4
Adilabad,Adilabad Rural,28-May-21,0.0,28.7,39.9,26.2,60.3,0.8,5.0
Adilabad,Adilabad Rural,29-May-21,0.0,27.7,38.9,33.6,52.1,0.5,4.6
Adilabad,Adilabad Rural,30-May-21,1.3,25.4,40.1,18.0,70.7,0.0,4.8
Adilabad,Adilabad Rural,31-May-21,0.0,27.4,34.3,36.5,66.1,0.0,3.4
Adilabad,Adilabad Urban,01-May-21,0.0,25.0,40.4,0.0,0.0,0.0,0.0
Adilabad,Adilabad Urban,01-May-21,0.0,25.0,40.4,16.2,59.3,0.0,7.9
Adilabad,Adilabad Urban,02-May-21,0.0,23.5,40.1,0.0,0.0,0.0,0.0
Adilabad,Adilabad Urban,02-May-21,10.0,23.5,40.1,22.2,81.6,0.0,16.6
Adilabad,Adilabad Urban,03-May-21,0.0,24.2,35.6,0.0,0.0,0.0,0.0
Adilabad,Adilabad Urban,03-May-21,0.2,24.2,35.6,30.6,74.4,0.0,11.8
Adilabad,Adilabad Urban,04-May-21,0.0,25.1,38.8,0.0,0.0,0.0,0.0
Adilabad,Adilabad Urban,04-May-21,0.0,25.1,38.8,23.1,72.2,0.0,9.2
Adilabad,Adilabad Urban,05-May-21,0.0,28.9,38.8,0.0,0.0,0.0,0.0
Adilabad,Adilabad Urban,05-May-21,0.0,28.9,38.8,25.3,64.1,0.0,4.9
Adilabad,Adilabad Urban,06-May-21,0.0,28.5,39.6,0.0,0.0,0.0,0.0
Adilabad,Adilabad Urban,06-May-21,0.0,28.5,39.6,28.9,70.4,0.0,9.3
Adilabad,Adilabad Urban,07-May-21,0.0,28.6,39.5,0.0,0.0,0.0,0.0
Adilabad,Adilabad Urban,07-May-21,0.2,28.6,39.5,32.5,66.4,0.0,10.1
Adilabad,Adilabad Urban,08-May-21,0.0,23.9,37.1,0.0,0.0,0.0,0.0
Adilabad,Adilabad Urban,08-May-21,9.5,23.9,37.1,42.0,90.2,0.0,8.9
Adilabad,Adilabad Urban,09-May-21,0.0,26.0,38.8,0.0,0.0,0.0,0.0
